DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
AV.CANTABRIA-PZA.DEL NAVIO,Avda,de,Cantabria,21.0,450254.0,4478649.0,T,"112, 114, 115, 151, N4"
AV.HISPANIDAD-PINOS DE OSUNA,Ctra,de,Servicio Avenida de América y de la Hispanidad,21.0,449971.0,4478140.0,T,"101, 115, 151, N4"
AVDA.AMERICA-CIUDAD PEGASO,Ctra,de,Servicio Avenida de América y de la Hispanidad,21.0,449505.0,4478126.0,T,"101, 114, 115, 151, N4"
CTRA.CANILLAS-UTRILLAS,Ctra,de,Canillas,16.0,445411.0,4479635.0,T,"73, N3"
CTRA.CANILLAS-UTRILLAS,Ctra,de,Canillas,16.0,445355.0,4479630.0,T,"73, N3"
AV.ENTREVIAS-T.PEREZ RUBIO,Avda,de,Entrevías,13.0,443059.0,4471412.0,T,"102, N11"
CARDEÑOSA-CONDE RGUEZ.SAN PEDRO,Calle,de,Cardeñosa,13.0,443138.0,4470852.0,T,"102, N11"
CAMPIÑA-PZA.DE LAS REGIONES,Calle,de la,Campiña,13.0,443154.0,4470319.0,T,"103, N11"
CAMPIÑA-SERENA,Calle,de la,Campiña,13.0,443358.0,4470075.0,T,"103, N11"
VILLACARRILLO-CAZORLA,Calle,de,Villacarrillo,13.0,443709.0,4469847.0,T,"102, 103, N11"
MENDEZ ALVARO-EST.SUR AUTOBUSES,Calle,de,Méndez Álvaro,2.0,442610.0,4471847.0,T,"152, N11"
SIERRA CONTRAVIESA-LAGARTERA,Calle,de,Sierra de Contraviesa,13.0,443044.0,4470539.0,T,"102, N11"
AVDA. ENTREVIAS,Avda,de,Entrevías,13.0,443073.0,4471405.0,T,"102, N11"
OCA-PINZON,Calle,de la,Oca,11.0,437269.0,4471389.0,T,N26
FUENCARRAL-ALBURQUERQUE,Calle,de,Fuencarral,7.0,440440.0,4476100.0,T,"3, 37, 149"
FUENCARRAL-SANDOVAL,Calle,de,Fuencarral,7.0,440506.0,4475891.0,T,"3, 37, 149, N23"
FUENCARRAL-GTA.BILBAO,Calle,de,Fuencarral,1.0,440548.0,4475745.0,T,"40, 149"
JOSE DEL HIERRO-HERMANOS DE PABLO,Calle,de,José del Hierro,15.0,445250.0,4476762.0,T,"48, 146"
JOSE DEL HIERRO-MANDARINA,Calle,de,José del Hierro,15.0,445471.0,4477008.0,T,"48, 146"
